idx,words,lid
11194,"['Redland' 'Market' 'Village' 'Classic' 'Car' 'Show' '–' 'Free' 'Entrance'
 'http://t.co/8Kl4hPJJ0a']","['ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1'
 'other']"
11195,"['Como' 'saber' 'si' 'su' 'relación' 'está' 'en' 'problemas' '!'
 'http://t.co/DhW7zuDRG2']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'other']"
11196,"['Forma' 'parte' 'de' 'nuestro' 'equipo' '#ElVacilondeLaGatita' 'en' 'la'
 'batalla' 'contra' 'el' 'cáncer' 'de' 'seno' '.' 'http://t.co/vWjlvs9El0']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']"
11197,"['El' 'cantante' 'de' 'Disney' 'Nick' 'Jonas' 'se' 'toma' 'unas' 'fotos'
 'sumamente' 'sexys' 'y' 'confieza' 'que' 'pronto' 'perdera' 'su'
 'Virginidad' 'http://t.co/opXXVKwGfg']","['lang2' 'lang2' 'lang2' 'ne' 'ne' 'ne' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
11198,"['Maneras' 'de' 'mantenerse' 'a' 'raya' 'y' 'prevenir' 'la' 'infidelidad'
 'http://t.co/NhNEppdF6G']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
11199,"['La' 'razon' 'por' 'la' 'que' 'un' 'hombre' 'es' 'infiel'
 'http://t.co/sGdbfVlLqq']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
11200,"['Horóscopos' 'de' 'amor' 'para' 'el' 'mes' 'de' 'Octubre'
 'http://t.co/hcDYgSi2xi']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11201,"['#ponteendormaconlagatita' 'es' 'para' 'la' 'Comunidad' '.' 'Estamos'
 'todos' 'los' 'Domingo' 'en' 'Westland' 'Mall' 'en' 'Hialeah' '.…'
 'http://t.co/isNnCMx8qN']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'ne' 'lang1' 'lang2' 'ne' 'other' 'other']"
11202,"['susanlee40' 'nomadic40' 'Siempre' 'con' 'esto' 'en' 'la' 'mente' 'mis'
 'chicas' '..' '.' 'http://t.co/7L1rgC1cVI']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'other' 'other']"
11203,"['Le' 'hacen' 'Bullying' 'a' 'la' 'hermana' 'pequeña' 'de' 'Kim'
 'Kardashian' 'http://t.co/h3W32ECgeq']","['lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'ne'
 'other']"
11204,['Como' 'Hablar' 'Durante' 'El' 'Sexo' 'http://t.co/SO3oaS2lkP'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11205,"['Mi' 'nuevo' 'carro' 'de' '@juicydirty' 'si' 'necesitas' 'un' 'carro'
 'bueno' ',' 'bonito' ',' 'y' 'barato' 'tienes' 'que' 'ir' 'a' 'Off'
 'Lease' '…' 'http://t.co/I4tCY13VUc']","['lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang1' 'lang1' 'other' 'other']"
11206,['Estas' 'tenie' 'http://t.co/sLCOsxIdoW'],['lang2' 'lang2' 'other']
11207,"['Los' 'Beneficios' 'de' 'el' 'Sexo' '!!' '(' 'si' 'al' 'sexo' '!' ')'
 'http://t.co/mtLInkoDeC']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2'
 'lang2' 'other' 'other' 'other']"
11208,['Los' 'Beneficios' 'de' 'una' 'sonrisa' 'http://t.co/vN7xMJlUZo'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11209,"['#Ponteenformaconlagatita' 'estamos' 'todos' 'los' 'Domingos' 'en'
 'Westland' 'Mall' 'en' 'Hialeah' '.' 'Esto' 'es' 'Totalmente' '…'
 'http://t.co/F4KMAb7m2p']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'lang1' 'lang2' 'ne'
 'other' 'lang2' 'lang2' 'lang2' 'other' 'other']"
11210,['Beneficios' 'de' 'el' 'sexo' 'casual' 'http://t.co/5YsEXHcXk2'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11211,['Te' 'estan' 'pegando' 'los' 'tarros' '??' '?' 'http://t.co/q9Rm9cZoH0'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'other']
11212,"['Gana' 'un' 'almuerzo' 'a' 'la' 'oficina' 'con' 'El' 'Vacilon' 'De' 'La'
 'Gatita' 'http://t.co/LKPuooFAB0']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other']"
11213,"['Ponte' 'en' 'Forma' 'con' 'La' 'Gatita' 'este' 'Domingo' 'en' 'Westland'
 'Mall' 'http://t.co/K8jXcVJ9dM']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'ne' 'lang1' 'other']"
11214,['Como' 'dar' 'el' 'beso' 'perfecto' '!' 'http://t.co/PvaI8IYfXF'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']
11215,['Alcalde' 'de' 'Medley' 'Roberto' 'Martell' '.' 'http://t.co/QLPJIq7d22'],['lang2' 'lang2' 'ne' 'ne' 'ne' 'other' 'other']
11216,"['Pendiente' 'para' 'ganar' 'tu' 'arreglo' 'de' 'http://t.co/bOiKLfRcrA'
 '.' '#elvacilondelagatita' 'http://t.co/oF8Lq9HFZK']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2'
 'other']"
11217,['Just' 'posted' 'a' 'video' 'http://t.co/YV7xlmJ2tz'],['lang1' 'lang1' 'lang1' 'lang1' 'other']
11218,"['Ponte' 'en' 'Forma' 'con' 'La' 'Gatita' 'este' 'Domingo' 'en' 'Westland'
 'Mall' 'http://t.co/K8jXcVJ9dM']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang1' 'lang1' 'other']"
11219,"['Lo' 'que' 'las' 'mujeres' 'hacen' 'mejor' 'durante' 'el' 'sexo'
 'http://t.co/cc8NDntgvu']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
11220,"['Gana' 'este' 'Sweetheart' 'Bouquet' 'con' 'los' 'Temas' 'de' 'Pareja'
 'http://t.co/1gcC1GsZcm']","['lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
11221,"['susanlee40' 'nomadic40' 'La' 'Mejor' 'parte' 'de' 'Mi' '..' '.'
 'http://t.co/3gmDjv7fwn']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other'
 'other']"
11222,"['#Quote' '#Elvacilondelagatita' 'Cada' 'Persona' ',' 'Es' 'Unica' 'y'
 'Especial' '..' '..' '.' '#Elvacilondelagatita' 'elzol1067fm'
 'http://t.co/z4T7czjMYH']","['lang1' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'other' 'other' 'lang2' 'other' 'other']"
11223,"['Conoces' 'a' 'emiliano' '..' '..' '..' '.' 'Llega' 'Mañana' 'Viernes'
 'con' 'todo' 'lo' '#fashion' 'en' '#Elvacilondelagatita' 'elzol1067fm'
 'http://t.co/As09IC7vO6']","['lang2' 'lang2' 'ne' 'other' 'other' 'other' 'other' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other' 'other']"
11224,"['Errores' 'que' 'las' 'parejas' 'cometen' 'durante' 'el' 'sexo'
 'http://t.co/v1fF4JyyZf']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11225,"['Soy' 'Agradecida' 'con' 'Dios' 'por' 'tantas' 'Bendiciones' '..' '.'
 '..' 'Siempre' 'con' 'mi' 'Sonrisa' 'Grande' 'y' 'una' 'fe' 'enorme' ',…'
 'http://t.co/arPi9BtOBZ']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other'
 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'other']"
11226,['#Quote' '#elvacilondelagatita' 'http://t.co/l8gUJiGTLK'],['lang1' 'lang2' 'other']
11227,"['Happy' 'Bday' '!!' '!!' '!!' '!!' 'Muchos' 'años' 'de' 'Salud' '..' '.'
 'Union' 'y' 'Comprension' '..' '..' 'http://t.co/Bpmp58Ndd5']","['lang1' 'lang1' 'other' 'other' 'other' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'other' 'lang2' 'lang2' 'lang2' 'other' 'other' 'other']"
11228,"['Cosas' 'que' 'las' 'mujeres' 'prefieren' 'en' 'ves' 'de' 'el' 'sexo' '!'
 'http://t.co/5rtAzZaJFg']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'other']"
11229,['#elvacilondelagatita' '#Quote' '#Monday' 'http://t.co/eKc9XpZ6BB'],['lang2' 'lang1' 'lang1' 'other']
11230,['Cocktail' '#ExpoColombia' 'http://t.co/IkpyXm7Czc'],['lang1' 'lang2' 'other']
11231,"['Que' 'Belleza' '!!' '!!' '!' 'Rafael' 'Amaya' 'El' 'Señor' 'de' 'los'
 'Cielos' '..' '..' '..' 'Lo' 'mas' 'guapo' ',' 'De' 'los' 'premios' 'Tu'
 'Mundo' '.' 'Que' '…' 'http://t.co/d4TIOh2Sw3']","['lang2' 'lang2' 'other' 'other' 'other' 'ne' 'ne' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other' 'other']"
11232,"['#Team' '#Elvacilondelagatita' '@peterpamdj' 'Capitan' 'zol' '.'
 'elzol1067fm' 'http://t.co/FFcW9ptJtU']",['lang1' 'lang2' 'other' 'lang2' 'ne' 'other' 'other' 'other']
11233,"['Cosas' 'que' 'se' 'le' 'debe' 'decir' 'a' 'la' 'mujer' 'antes' 'de' 'el'
 'sexo' 'http://t.co/Iad3DF4GJS']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
11234,"['Pareja' 'obsesionada' 'con' '‘' 'World' 'of' 'Warcraft' '’'
 'Sentenciados' 'a' 'Prisión' 'por' 'Negligencia' 'Infantil' 'Extrema'
 'http://t.co/19GQCpQDKx']","['lang2' 'lang2' 'lang2' 'other' 'ne' 'lang1' 'ne' 'other' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
11235,"['Lo' 'que' 'las' 'mujeres' 'detestan' 'en' 'la' 'cama'
 'http://t.co/RKS8LJ8VY0']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11236,"['Le' 'responde' 'Daddy' 'Yankee' 'a' 'la' 'doctora' 'que' 'llamo' 'a'
 'sus' 'pacientes' '“' 'ignorantes' '”' 'http://t.co/1kCLFrP6X4']","['lang2' 'lang2' 'ne' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'lang2' 'other' 'other']"
11237,"['Características' 'de' 'un' 'Cancer' 'en' 'el' 'AMOR'
 'http://t.co/JzewEZfd6f']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11238,"['Características' 'de' 'un' 'Capricornio' 'en' 'el' 'AMOR'
 'http://t.co/88vn1qkD7x']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11239,"['Características' 'de' 'un' 'Pisces' 'en' 'el' 'AMOR'
 'http://t.co/0EsYbHwXy2']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11240,"['Características' 'de' 'un' 'Aries' 'en' 'el' 'AMOR'
 'http://t.co/Az2eN2KReH']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11241,"['Características' 'de' 'un' 'Sagitario' 'en' 'el' 'AMOR'
 'http://t.co/dpreFvi119']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11242,"['Toman' 'un' 'video' 'de' 'un' 'policia' 'pegandole' 'brutal' 'mente' 'a'
 'una' 'mujer' 'http://t.co/OKixVMacuD']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other']"
11243,"['Moviendo' 'el' 'esqueleto' 'con' '#Ponteenformaconlagatita' 'hoy' 'en'
 'el' 'Hipódromo' 'de' 'Hialeah' '.' 'Para' 'mas' '…'
 'http://t.co/wbXFzyF6zv']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'ne' 'other' 'lang2' 'lang2' 'other' 'other']"
11244,"['Te' 'estamo' 'esperando' 'en' 'el' 'Hipódromo' 'de' 'Hialeah' '32'
 'calle' 'y' '1' 'ave' 'de' 'east' '.' 'Ven' 'para' 'aca'
 'http://t.co/YDN7dEFYxZ']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'other'
 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2'
 'lang2' 'other']"
11245,"['Back' 'to' 'School' 'at' 'Westland' 'Mall' '2014' '(' 'ver' 'las'
 'fotos' 'aqui' ')' 'http://t.co/BQK4uwk48O']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'other']"
11246,"['Tu' 'cuerpo' 'pide' 'sexo' 'y' 'no' 'sabes' 'porque' '?'
 'http://t.co/gQoAGgHkIQ']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'other']"
11247,"['5' 'maneras' 'en' 'que' 'tu' 'matrimonio' 'te' 'esta' 'derrotando'
 'http://t.co/b0PUZU0GmW']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
11248,"['@ELSANTI26' 'Dominicano' 'que' 'no' 'sabe' 'bailar' 'bachata' '.'
 'Imaginate' 'eso' '..' '.' 'Tipico' 'Dominicano' 'noche' 'alegre' 'con'
 '…' 'http://t.co/CnYZHwiyFY']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'other']"
11249,"['Gracias' 'por' 'todo' 'Tu' 'cariño' '..' '..' '#elvacilondelagatita'
 'elzol1067fm' 'http://t.co/xWH8ySdV0J']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'other'
 'other']"
11250,"['J' 'Alvarez' 'en' 'Concierto' 'pendiente' 'dentro' 'de' 'la' '#Mezcla'
 'Ahora' '.' '#Elvacilondelagatita' 'elzol1067fm' 'GOOD' '…'
 'http://t.co/0cMiWBWZwb']","['ne' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'lang2' 'other' 'lang1' 'other' 'other']"
11251,"['#Quote' 'para' 'hoy' '#friday' 'Comienza' 'el' '#Weekend' 'con' 'el'
 'pie' 'derecho' '.' '#Elvacilondelagatita' 'elzol1067fm'
 'http://t.co/m91HtH1Evi']","['lang1' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'lang2' 'other' 'other']"
11252,['Bayside' 'Marketplace' 'http://t.co/FOmUPJC6TN'],['lang1' 'lang1' 'other']
11253,['Sergio' '’s' 'Printing' 'http://t.co/cvfrZQAMGN'],['ne' 'lang1' 'lang1' 'other']
11254,['Parodia' '–' 'El' 'Lambon' 'http://t.co/and207Bbcx'],['lang2' 'other' 'lang2' 'lang2' 'other']
11255,"['Las' 'fantasías' 'sexuales' 'de' 'las' 'mujeres'
 'http://t.co/IS4jApe0gC']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11256,"['Ya' 'estamos' 'con' 'energia' 'Familia' '..' '..' '.' 'Y' 'Felicidades'
 '#BOLIVIA' '189' 'AÑOS' 'EN' 'SU' 'INDEPENDENCIA' '.…'
 'http://t.co/LJdkhdTCRx']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'other' 'lang2'
 'lang2' 'ne' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']"
11257,"['Agradecida' 'con' 'Dios' ',' 'Por' 'darme' 'el' 'Privilegio' 'de'
 'sacarle' 'una' 'sonrisa' 'a' 'tantas' 'personas' ',' 'Que' 'viven' '…'
 'http://t.co/vRQ2LPVB7Z']","['lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2'
 'other' 'other']"
11258,"['Romeo' 'Santos' 'confiesa' 'que' 'no' 'le' 'gusta' 'su' 'voz'
 'http://t.co/hU8BLCCvOQ']",['ne' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11259,['#elvacilondelagatita' 'http://t.co/cTd2sy6ZVT'],['lang2' 'other']
11260,"['Hay' 'Personas' ',' 'Que' 'de' 'alguna' 'forma' 'te' 'dan' 'lecciones'
 'de' 'Positivismo' ',' 'De' 'lucha' ',' 'De' 'esperanza' '.' 'Y' 'te'
 'das' '…' 'http://t.co/h8jGOPSKON']","['lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'other' 'lang2' 'lang2'
 'other' 'lang2' 'lang2' 'lang2' 'other' 'other']"
11261,"['Las' 'Hermanas' 'Kardashians' 'Salen' 'A' 'Defender' 'A' 'Su' 'Hermano'
 'De' 'Su' 'Ex' 'http://t.co/7CRldY5yg4']","['lang2' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other']"
11262,"['#elvacilondelagatita' '#Happy' '#Mezclas' '#Bachata' '#morningshow'
 '#aventura' '@itsdeejayquake' '#SinCensura' '…' 'http://t.co/Ia3dDGgryI']","['lang2' 'lang1' 'lang2' 'lang2' 'lang1' 'lang2' 'other' 'lang2' 'other'
 'other']"
11263,"['Gracias' 'DIOS' ',' 'No' 'existe' 'nadie' 'como' 'Tu' '..' '..' '..'
 'Feliz' 'Jueves' '#blessed' '#Positive' '#Mezclas'
 'http://t.co/QAIUZFl7aX']","['lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'other' 'other' 'lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'other']"
11264,"['Nada' 'mejor' 'Que' 'Llegar' 'a' 'casa' '!!' '!.' '..' 'Thanks' 'God'
 '.' '#ILoveMyRoom' 'http://t.co/q64rPRVDyY']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'other'
 'lang1' 'lang1' 'other' 'lang1' 'other']"
11265,"['#Ponteenformaconlagatita' '#ponteenforma' '#teamlagatita'
 '#elvacilondelagatita' '#elzol1067fm' '#fitness' '…'
 'http://t.co/GVcSlqWIgF']",['lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'other' 'other']
11266,['ARROZ' 'CON' 'POLLO' '–' 'RECETA' 'SALUDABLE' 'http://t.co/ABjyJXd6PO'],['lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'other']
11267,"['Artista' 'internacional' 'Shakira' 'Tiene' 'Los' 'mas' 'likes' 'en'
 'Facebook' '.' 'http://t.co/NcewZCnsvM']","['lang2' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'ne' 'other'
 'other']"
11268,['Diseñan' 'máquina' 'que' 'cuenta' 'calorías' 'http://t.co/Ec5Fc1HFCN'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11269,"['¿' 'Se' 'encenderá' 'el' 'logo' 'de' 'Apple' 'en' 'el' 'iPhone' '6'
 'para' 'avisar' 'de' 'las' 'notificaciones' '?' 'http://t.co/3iLcbzZHMb']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'lang2' 'lang2' 'ne'
 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']"
11270,"['“' 'Fanstastic' '”' 'una' 'aplicacion' 'que' 'te' 'permite' 'obtener'
 'autografos' 'de' 'las' 'celebrities' 'http://t.co/hiSaQYJUzx']","['other' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang1' 'other']"
11271,"['Esta' 'aplicacion' 'pude' 'ayudarte' 'con' 'tus' '“' 'Selfies' '”'
 'http://t.co/dYfkaPEe6r']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'other'
 'other']"
11272,"['Canelones' 'de' 'ternera' 'y' 'acelgas' 'con' 'bechamel' '.' 'Receta'
 'http://t.co/E8DtwuP3hb']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'other']"
11273,"['Raul' '!' 'Un' 'ser' 'especial' 'Que' 'celebra' 'su' 'cumpleaños' '..'
 '.' 'Que' 'Dios' 'te' 'llene' 'de' 'Bendiciones' '.' 'Ya' 'estamos' '…'
 'http://t.co/iqQsTEhdTN']","['ne' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'other' 'other']"
11274,"['Tarta' 'de' 'calabacín' 'y' 'champiñones' '.' 'Receta'
 'http://t.co/iUkinHjSRT']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other']
11275,"['Cortesia' 'fuente' ':' 'http://t.co/yoNrUupWUx' 'Con' 'el' 'fresquito'
 'que' 'está' 'haciendo' 'estos' 'días' 'el' '…' 'http://t.co/iDMDswoyI3']","['lang2' 'lang2' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']"
11276,['Receta' 'de' 'macarrones' 'árabes' 'http://t.co/NOCG6A8Qmi'],['lang2' 'lang2' 'lang2' 'lang2' 'other']
11277,"['Wao' '..' '.' 'Mis' 'nenas' 'estan' 'Grandes' '..' '..' 'Miro' 'sus'
 'fotos' 'y' 'las' 'recuerdo' 'a' 'cada' 'una' 'con' 'sus' 'ocurrencias'
 'y' '…' 'http://t.co/fZ83Es2y3i']","['lang2' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']"
11278,['My' '#Quote' '#Elvacilondelagatita' 'http://t.co/MO1RuicOSR'],['lang1' 'lang1' 'lang2' 'other']
11279,['Snack' '..' '.' 'http://t.co/rSWUPme6Zw'],['lang1' 'other' 'other' 'other']
11280,['La' 'Gatita' 'Deals' 'on' 'Wheels' 'http://t.co/lJG1oU7oqc'],['lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'other']
11281,"['Late' 'Post' '..' '.' 'Esto' 'fue' 'el' 'Jueves' 'en' 'the' 'bank' '.'
 'Concierto' 'alexis' 'y' 'fido' '.' '#Elvacilondelagatita'
 'http://t.co/8gXjIPozgr']","['lang1' 'lang1' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang1' 'lang1' 'other' 'lang2' 'ne' 'lang2' 'ne' 'other' 'lang2' 'other']"
11282,['Amen' '..' '..' '..' 'http://t.co/N2T5AJt3U9'],['lang2' 'other' 'other' 'other' 'other']
11283,"['Ponte' 'en' 'Forma' '#1' 'Bayside' 'Marketplace'
 'http://t.co/1bOVzWaWlC']",['lang2' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'other']
11284,['Fuistes' 'Tu' '!' 'THANKS' '..' '..' '..' 'http://t.co/WSrL3aWm6V'],['lang2' 'lang2' 'other' 'lang1' 'other' 'other' 'other' 'other']
11285,['Pollo' 'y' 'vegetales' 'salteados' 'http://t.co/OKxI9OOpfT'],['lang2' 'lang2' 'lang2' 'lang2' 'other']
11286,"['Camote' ',' 'batata' 'o' 'sweet' 'potato' 'con' 'leche'
 'http://t.co/kmZhmil5y4']",['lang2' 'other' 'lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'other']
11287,['Arroz' 'integral' 'a' 'la' 'paella' 'http://t.co/agTG4OkrN9'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
11288,['Ensalada' 'de' 'frutas' 'http://t.co/l6uGfAuwR6'],['lang2' 'lang2' 'lang2' 'other']
11289,"['Desayunos' 'nutritivos' 'de' 'apenas' '300' 'calorías'
 'http://t.co/er1c6U5RUU']",['lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other']
11290,"['Menú' 'de' '7' 'Días' ',' 'recomendación' 'de' 'una' 'nutriologa'
 'http://t.co/BIasxhXTYq']","['lang2' 'lang2' 'other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
11291,['#Quote' '#Elvacilondelagatita' 'http://t.co/8nHgjkP9LY'],['lang1' 'lang2' 'other']
